date,_id,author,title,keywords,intro,body,ressort
22. 6. 2020,1,1,1,1,1,1,1
22. 9. 2020,1,1,1,1,1,1,1
23. 11. 2019,1,1,1,1,1,1,1
23. 3. 2020,1,1,1,1,1,1,1
24. 4. 2020,1,1,1,1,1,1,1
24. 5. 2020,1,1,1,1,1,1,1
24. 6. 2020,1,1,1,1,1,1,1
24. 7. 2020,1,1,1,1,1,1,1
22. 9. 2017,1,1,1,1,1,1,1
25. 1. 2020,1,1,1,1,1,1,1
25. 2. 2016,1,1,1,1,1,1,1
25. 3. 2020,1,1,1,1,1,1,1
25. 5. 2020,1,1,1,1,1,1,1
25. 8. 2019,1,1,1,1,1,1,1
25. 8. 2020,1,1,1,1,1,1,1
26. 2. 2020,1,1,1,1,1,1,1
26. 3. 2020,1,1,1,1,1,1,1
25. 11. 2018,1,1,1,1,1,1,1
26. 4. 2020,1,1,1,1,1,1,1
9. 8. 2020,1,1,1,1,1,1,1
22. 3. 2020,1,1,1,1,1,1,1
19. 4. 2018,1,1,1,1,1,1,1
19. 6. 2019,1,1,1,1,1,1,1
19. 7. 2020,1,1,1,1,1,1,1
19. 9. 2020,1,1,1,1,1,1,1
2. 10. 2020,1,1,1,1,1,1,1
2. 12. 2019,1,1,1,1,1,1,1
2. 3. 2018,1,1,1,1,1,1,1
22. 5. 2020,1,1,1,1,1,1,1
2. 3. 2020,1,1,1,1,1,1,1
20. 1. 2018,1,1,1,1,1,1,1
20. 11. 2019,1,1,1,1,1,1,1
20. 2. 2020,1,1,1,1,1,1,1
20. 5. 2020,1,1,1,1,1,1,1
21. 1. 2016,1,1,1,1,1,1,1
21. 7. 2020,1,1,1,1,1,1,1
22. 1. 2020,1,1,1,1,1,1,1
2. 4. 2018,1,1,1,1,1,1,1
26. 7. 2020,1,1,1,1,1,1,1
26. 9. 2019,1,1,1,1,1,1,1
27. 4. 2017,1,1,1,1,1,1,1
4. 8. 2020,1,1,1,1,1,1,1
4. 9. 2020,1,1,1,1,1,1,1
5. 3. 2019,1,1,1,1,1,1,1
5. 4. 2020,1,1,1,1,1,1,1
6. 10. 2020,1,1,1,1,1,1,1
6. 4. 2020,1,1,1,1,1,1,1
6. 7. 2020,1,1,1,1,1,1,1
4. 6. 2019,1,1,1,1,1,1,1
7. 12. 2019,1,1,1,1,1,1,1
7. 8. 2020,1,1,1,1,1,1,1
7. 9. 2020,1,1,1,1,1,1,1
8. 10. 2020,1,1,1,1,1,1,1
8. 11. 2019,1,1,1,1,1,1,1
